State,City,Category,gasdate,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
Alabama,Birmingham,,,5/23/2014,Parts per billion,10.766667,Parts per million,0.033333,Parts per billion,0.15,Parts per million,0.189545
Alabama,Birmingham,,,5/24/2014,Parts per billion,11.729167,Parts per million,0.031,Parts per billion,2.354545,Parts per million,0.303636
Alabama,Birmingham,,,5/25/2014,Parts per billion,8.254167,Parts per million,0.032875,Parts per billion,2.55,Parts per million,0.269091
Alabama,Birmingham,,5/26/2014,5/26/2014,Parts per billion,6.675,Parts per million,0.042208,Parts per billion,1.745,Parts per million,0.164
Alabama,Birmingham,,,5/27/2014,Parts per billion,5.7875,Parts per million,0.0405,Parts per billion,1.463636,Parts per million,0.200455
Alabama,Birmingham,,,5/28/2014,Parts per billion,7.554167,Parts per million,0.020917,Parts per billion,0.505,Parts per million,0.162273
Alabama,Birmingham,,,5/29/2014,Parts per billion,7.258333,Parts per million,0.015417,Parts per billion,0.3,Parts per million,0.114091
Alabama,Birmingham,,,5/30/2014,Parts per billion,7.533333,Parts per million,0.016833,Parts per billion,0.527273,Parts per million,0.119091
Alabama,Birmingham,,,5/31/2014,Parts per billion,5.591667,Parts per million,0.03,Parts per billion,0.286364,Parts per million,0.119091
Alabama,Birmingham,,,6/1/2014,Parts per billion,3.154167,Parts per million,0.029542,Parts per billion,0.345455,Parts per million,0.102727
Alabama,Birmingham,,6/2/2014,6/2/2014,Parts per billion,5.433333,Parts per million,0.032292,Parts per billion,4.05,Parts per million,0.1265
Alabama,Birmingham,,,6/3/2014,Parts per billion,9.35,Parts per million,0.027333,Parts per billion,0.318182,Parts per million,0.184118
Alabama,Birmingham,,,6/4/2014,Parts per billion,7.791667,Parts per million,0.024667,Parts per billion,1.440909,Parts per million,0.147059
Alabama,Birmingham,,,6/5/2014,Parts per billion,5.758333,Parts per million,0.025417,Parts per billion,1.295455,Parts per million,0.191818
Alabama,Birmingham,,,6/6/2014,Parts per billion,11.3625,Parts per million,0.0205,Parts per billion,0.927273,Parts per million,0.181818
Alabama,Birmingham,,,6/7/2014,Parts per billion,5.675,Parts per million,0.0295,Parts per billion,2.45,Parts per million,0.157273
Alabama,Birmingham,,,6/8/2014,Parts per billion,7.491667,Parts per million,0.022667,Parts per billion,1.027273,Parts per million,0.151818
Alabama,Birmingham,,6/9/2014,6/9/2014,Parts per billion,6.108333,Parts per million,0.0265,Parts per billion,0.315,Parts per million,0.1175
Alabama,Birmingham,,,6/10/2014,Parts per billion,5.9625,Parts per million,0.024917,Parts per billion,0.105,Parts per million,0.102273
Alabama,Birmingham,,,6/11/2014,Parts per billion,9.716667,Parts per million,0.021542,Parts per billion,0.009091,Parts per million,0.195455
Alabama,Birmingham,,,6/12/2014,Parts per billion,9.041667,Parts per million,0.023417,Parts per billion,0.118182,Parts per million,0.193636
Alabama,Birmingham,,,6/13/2014,Parts per billion,8,Parts per million,0.030083,Parts per billion,0.281818,Parts per million,0.196364
